date,Adj Close,Close,High,Low,Open,Volume
25-10-2022,41122.27344,41122.75,41530.64844,41021.44922,41513.64844,351800
27-10-2022,41298.82031,41299.30078,41511.80078,41178.64844,41440.69922,239400
28-10-2022,40990.375,40990.85156,41482.39844,40839.30078,41236.80078,237100
31-10-2022,41307.41797,41307.89844,41353.69922,41106.10156,41265.69922,237200
01-11-2022,41289.07031,41289.55078,41677.25,41188.55078,41552.39844,304400
02-11-2022,41146.17188,41146.64844,41474.30078,41060.44922,41472.60156,175800
03-11-2022,41297.87109,41298.35156,41478,40819.14844,40873.69922,263600
04-11-2022,41257.96875,41258.44922,41516.19922,41051.14844,41314.85156,190400
07-11-2022,41686.21484,41686.69922,41779.39844,41337.05078,41740.64844,393400
09-11-2022,41782.71484,41783.19922,41948.89844,41667.89844,41914.85156,490500
10-11-2022,41603.26563,41603.75,41643.89844,41318.60156,41462.85156,253400
11-11-2022,42136.5625,42137.05078,42345.5,41918.10156,42163.39844,255400
14-11-2022,42076.26172,42076.75,42231.44922,41965.44922,42177.55078,142700
15-11-2022,42372.20703,42372.69922,42450.05078,42079.55078,42234.85156,139400
16-11-2022,42534.80469,42535.30078,42611.75,42296.30078,42371.80078,185400
17-11-2022,42457.55859,42458.05078,42622.75,42366.55078,42399.64844,165400
18-11-2022,42436.95703,42437.44922,42590.75,42223.69922,42545.75,280100
21-11-2022,42346.05859,42346.55078,42386.80078,42202.55078,42286.94922,259100
22-11-2022,42456.55859,42457.05078,42508.75,42347.14844,42467.39844,216300
23-11-2022,42728.60547,42729.10156,42860.55078,42556.39844,42668.55078,359100
24-11-2022,43074.89844,43075.39844,43163.39844,42769.64844,42838.35156,204900
25-11-2022,42983.44922,42983.94922,43339.14844,42864.94922,43192.44922,502800
28-11-2022,43019.94922,43020.44922,43159.80078,42740,42757.19922,238700
29-11-2022,43052.94922,43053.44922,43279.60156,42959.39844,42959.39844,223000
30-11-2022,43230.49609,43231,43332.30078,42880.05078,43122.75,202000
01-12-2022,43260.14453,43260.64844,43515.05078,43101.85156,43512.10156,268400
02-12-2022,43103.25,43103.75,43131.89844,42937.80078,42976.69922,212800
05-12-2022,43332.44531,43332.94922,43372.14844,42985,43269.35156,242600
06-12-2022,43138.05078,43138.55078,43306.85156,43076.39844,43093.89844,379200
07-12-2022,43098.19922,43098.69922,43327.35156,42948.44922,43157.35156,242900
08-12-2022,43596.34375,43596.85156,43640.89844,43095.30078,43142.25,355700
09-12-2022,43632.94141,43633.44922,43853.39844,43361.69922,43765.30078,443500
12-12-2022,43708.24219,43708.75,43767.05078,43378.80078,43455.85156,234200
13-12-2022,43946.03906,43946.55078,43983.80078,43767.75,43793.69922,277000
14-12-2022,44048.58984,44049.10156,44151.80078,43987.94922,44078.60156,349200
15-12-2022,43497.69531,43498.19922,44120.60156,43379.10156,43940.10156,421900
16-12-2022,43218.99609,43219.5,43598.19922,43080.55078,43261.75,275200
19-12-2022,43413.24609,43413.75,43451.44922,43110.30078,43346.35156,175600
20-12-2022,43358.99609,43359.5,43426.19922,42955.39844,43152.64844,182300
21-12-2022,42617.45313,42617.94922,43614.64844,42363.80078,43525.75,279400
22-12-2022,42408.30859,42408.80078,42933.5,42231.35156,42864,344800
23-12-2022,41667.56641,41668.05078,42226.64844,41597.64844,41951.35156,332600
26-12-2022,42629.65234,42630.14844,42846.14844,41569.44922,41716.35156,323200
27-12-2022,42859,42859.5,42927.19922,42394.14844,42827.75,229600
28-12-2022,42827.20313,42827.69922,43034.94922,42694.85156,42733.60156,230500
29-12-2022,43251.84766,43252.35156,43498.05078,42489.80078,42684.89844,308300
30-12-2022,42985.94922,42986.44922,43422.94922,42833.10156,43401.69922,258700
02-01-2023,43203.10156,43203.10156,43382.75,42961.75,43038.25,1798102100
03-01-2023,43425.25,43425.25,43482.80078,43148.44922,43151.44922,197000
04-01-2023,42958.80078,42958.80078,43578.39844,42858.64844,43417.5,216800
05-01-2023,42608.69922,42608.69922,43137.55078,42298.60156,43073.05078,189100
06-01-2023,42188.80078,42188.80078,42685.89844,41877,42649.69922,195100
09-01-2023,42582.75,42582.75,42716.80078,42186.55078,42404.85156,161800
10-01-2023,42014.75,42014.75,42674.25,41835.75,42642,179300
11-01-2023,42232.69922,42232.69922,42318,41729,42071.85156,169800
12-01-2023,42082.25,42082.25,42343.5,41742.94922,42238.5,154100
13-01-2023,42371.25,42371.25,42453.94922,41885.60156,42171.25,205500
16-01-2023,42167.55078,42167.55078,42715.64844,42066.55078,42622.5,312300
17-01-2023,42235.05078,42235.05078,42383.80078,41861.10156,42241.19922,256300
18-01-2023,42458,42458,42555.89844,42119.64844,42271.80078,170500
19-01-2023,42328.85156,42328.85156,42506.25,42234.89844,42416.30078,143400
20-01-2023,42506.80078,42506.80078,42709.19922,42366.14844,42516.05078,159100
23-01-2023,42821.25,42821.25,43005.85156,42727.69922,42891.44922,203600
24-01-2023,42733.44922,42733.44922,43078.89844,42615.64844,42994.44922,159500
25-01-2023,41647.64844,41647.64844,42733.05078,41540.30078,42703.60156,244700
27-01-2023,40345.30078,40345.30078,41417.89844,40148.80078,41382.35156,350800
30-01-2023,40387.44922,40387.44922,40789.55078,39419.80078,39856.14844,369900
31-01-2023,40655.05078,40655.05078,40811.64844,40167.69922,40563.85156,289900
01-02-2023,40513,40513,42015.64844,39490.5,41115,400100
02-02-2023,40669.30078,40669.30078,40757.60156,39761.44922,39943.35156,348500
03-02-2023,41499.69922,41499.69922,41539.94922,40609.75,41019.35156,308800
06-02-2023,41374.64844,41374.64844,41724.5,41261.19922,41530.14844,197800
